R,Sel,Date,Month,Day,Year,Composition,Composed,Event,Venue,Street,City,State,ZIP,Performers,Conductor,Image,Notes,Extra
,,2016,,,,,,,,,,,,,,,,
,,9/12/16,9,12,2016,Smoke and Mirrors,2013,ICMC 2016,"TivoliVredenburg, Hertz",Vlaamse Toren 7 ,Utrecht,NL,,Modelo62,,icmc2016.png,,
,,6/18/16,6,18,2016,the view from here,2016,Music in the American Wild Tour,"Byrd Visitor Center, Shenandoah National Park",Skyline Drive Milepost 51,Stanley,VA,22851,Music in the American Wild Ensemble,,mitaw.jpg,,
,,6/17/16,6,17,2016,the view from here,2016,Music in the American Wild Tour,The Theatre,291 Gay Street,Washington,VA,22747,Music in the American Wild Ensemble,,mitaw.jpg,,
,,6/14/16,6,14,2016,the view from here,2016,Music in the American Wild Tour,"Top of Purchase Knob, Great Smoky Mountains National Park",107 Purchase Rd,Waynesville,TN,28785,Music in the American Wild Ensemble,,mitaw2.jpg,,
,,6/9/16,6,9,2016,the view from here,2016,Music in the American Wild Tour,Locust Grove,561 Blankenbaker Lane,Louisville,KY,40207,Music in the American Wild Ensemble,,mitaw3.jpg,,
,,05/22/16,5,22,2016,Smoke and Mirrors,2013,Queens New Music Festival,Big Secret Theatre,,"Long Island City, Queens",NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switch.jpg,,
,,04/29/16,4,29,2016,a thing of dream and mist,2011,,Weinstein Center Global Commons,,Richmond,VA,,"Emily Loboda, soprano saxophone",,emilyloboda.jpg,,
,,2/13/16,2,13,2016,"in shadow, in shade",2016,SEAMUS 2016,Carol A. Carter Recital Hall,,Statesboro,GA,,"Keith Kirchoff, piano",,keithkirchoff.jpg,,
,,2015,,,,,,,,,,,,,,,,
,,11/6/15,11,6,2015,Recast Fragments,2015,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,Ensemble U:,,ensembleu.jpg,,
,,11/3/15,11,3,2015,Recast Fragments,2015,St Cloud State University,"Performing Arts Center, Recital Hall",,620 3rd Ave South.,MN,,Ensemble U:,,ensembleu.jpg,,
,,4/19/15,4,19,2015,deep in liquid indigo,2012,Austin Peay State University,MMC Concert Hall,,Clarksville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,4/20/15,4,20,2015,deep in liquid indigo,2012,,Downtown Presbyterian Church,,Nashville,TN,,Gateway Chamber Ensemble,Gregory Wolynec,gateway.jpg,,
,,2/23/15,2,23,2015,a thing of dream and mist,2011,Noa Even Solo Recital,Oklahoma State University,,Stillwater,OK,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/21/15,2,21,2015,a thing of dream and mist,2011,North American Saxophone Alliance Conference - Region 4,University of Oklahoma,,Norman,OK,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/19/15,2,19,2015,a thing of dream and mist,2011,Noa Even Solo Recital,Wichita State University,,Wichita,KS,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/18/15,2,18,2015,a thing of dream and mist,2011,Noa Even Solo Recital,University of Missouri-Kansas City,,Kansas City,MO,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2/13/15,2,13,2015,a thing of dream and mist,2011,Noa Even Faculty Recital,"Kent State University, Ludwig Recital Hall",,Kent,OH,,"Noa Even, soprano saxophone",,noa.jpg,,
,,2014,,,,,,,,,,,,,,,,
,,11/14/14,11,14,2014,a thing of dream and mist,2011,Electroacoustic Barn Dance,University of Mary Washington,,Fredericksburg,VA,,"Zach Herchen, soprano saxophone",,zachherchen.jpg,,
,S,11/7/14,11,7,2014,Smoke and Mirrors,2013,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,eighth blackbird,,,,
,,10/18/14,10,18,2014,a thing of dream and mist,2011,Bowling Green State University New Music Festival,Kobacker Hall,,Bowling Green,OH,,"John Sampen, soprano saxophone",,sampen.jpg,,
N,,7/10/14,7,10,2014,Star Lit Cigarette,2014,Ritsos Project,Karlovassi Town Hall,,"Karlovassi, Samos Island",GR,,"Sophie Burgos, soprano; Daniel Pesca, piano",,sophieburgos.jpg,,
N,,7/4/14,7,4,2014,Star Lit Cigarette,2014,Ritsos Project,Megaron Performing Arts Complex,,Athens,GR,,"Sophie Burgos, soprano; Daniel Pesca, piano",,danielpesca.jpg,,
Y,,6/2/14,6,2,2014,Smoke and Mirrors,2013,New York City Electroacoustic Music Festival,Abrons Arts Center,,New York City,NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switch.jpg,,
Y,,5/21/14,5,21,2014,Smoke and Mirrors,2013,,Hallwalls Contemporary Arts Center,,Buffalo,NY,,Switch~ Ensemble,Daniel Bassin,switch.jpg,,
,,4/26/14,4,26,2014,a thing of dream and mist,2011,Northwestern University New Music Conference,Regenstein Master Classroom,,Chicago,IL,,"Scotty Phillips, soprano saxophone",,scottyphillips.jpg,,
Y,,4/18/14,4,18,2014,a thing of dream and mist,2011,Ea(s)talia: Guest Artist Concert,Ray Wright Room,,Rochester,NY,,"Michele Bianchini, soprano saxophone",,michelebianchini.jpg,,
N,,4/8/14,4,8,2014,Two Pieces for Chamber Orchestra,2014,,Kilbourn Hall,,Rochester,NY,,Eastman Composers Sinfonietta,Jerry Hou,jerryhou.jpg,,
,,2013,,,,,,,,,,,,,,,,
Y,,11/20/13,11,20,2013,Smoke and Mirrors,2013,Eastman Computer Music Center Concert,Hatch Recital Hall,,Rochester,NY,,Switch~ Ensemble,Jason Thorpe Buchanan,switchhatch.jpg,,
Y,,11/4/13,11,4,2013,deep in liquid indigo,2012,Notes from New England,Clarice Smith Performing Arts Center,,College Park,MD,,TEMPO New Music Ensemble,,tempo.jpg,,
Y,S,11/2/13,11,2,2013,Smoke and Mirrors,2013,Third Practice Electroacoustic Music Festival,Camp Concert Hall,,Richmond,VA,,Oberlin Contemporary Music Ensemble,Tim Weiss,timweiss.jpg,,
,,10/16/13,10,16,2013,the resonance after...,2008,,Roulette,,Brooklyn,NY,,American Modern Ensemble,Robert Patterson,amegroup.jpg,,
